,0,1,2,3,4,5
109,3,1,25,25,20,17
110,27,19,35,34,6,27
111,16,34,24,15,26,5
112,24,25,24,24,7,44
113,9,34,18,16,28,4
114,11,5,22,10,10,13
115,29,17,44,6,28,38
116,8,16,36,3,43,7
117,5,16,30,27,43,18
118,33,6,29,32,15,32
119,17,22,10,19,24,15
120,39,13,19,1,35,43
121,12,42,9,44,15,28
122,9,3,13,8,4,24
123,20,36,44,18,20,19
124,23,39,38,37,19,10
125,16,41,7,6,16,40
126,24,41,27,24,43,11
127,13,36,39,41,31,6
128,9,35,8,33,5,14
129,6,41,4,35,15,20
130,32,33,43,42,27,19
131,24,16,22,41,44,12
132,13,38,19,34,38,13
133,39,5,18,7,35,8
134,29,25,44,20,6,39
135,38,12,19,7,2,38
136,39,11,33,21,27,5
137,44,26,21,40,27,28
138,15,7,35,14,25,3
139,18,7,2,25,26,32
140,36,13,30,8,4,13
141,8,1,33,32,4,37
142,37,24,34,38,34,4
143,37,22,44,33,40,33
144,15,2,30,23,28,17
145,11,7,7,5,31,44
146,27,33,24,32,37,36
147,17,41,13,43,3,1
148,30,17,16,20,24,5
149,24,43,31,1,44,4
150,41,42,22,11,43,26
151,37,22,14,26,8,4
152,30,26,44,16,25,5
153,7,35,43,44,40,25
154,14,9,34,37,40,11
155,23,33,43,5,44,23
156,14,8,29,41,16,44
157,23,21,31,35,37,34
158,42,44,21,7,23,9
159,16,37,35,28,11,44
160,32,17,39,10,23,30
161,11,32,44,19,9,38
162,10,22,29,19,30,37
163,5,40,5,14,39,13
164,19,22,20,25,42,9
165,22,26,10,36,41,2
166,12,4,30,37,36,40
167,17,18,22,22,28,18
168,2,21,44,10,30,31
169,14,28,14,40,34,45
170,32,32,44,19,27,43
171,18,31,10,24,37,37
172,44,26,1,2,17,1
173,7,36,19,10,37,40
174,42,2,24,27,31,13
175,16,20,33,12,45,11
176,25,32,22,42,39,38
177,17,1,26,28,33,32
178,31,32,24,17,41,19
179,5,9,4,10,7,19
180,11,17,12,42,33,21
181,10,2,12,25,10,15
182,25,27,43,43,4,16
183,19,10,36,1,27,32
184,5,3,22,18,31,22
185,20,33,10,28,23,42
186,28,28,30,23,40,13
187,32,3,25,15,17,36
188,33,34,10,37,35,34
189,26,22,37,1,40,27
190,17,3,10,27,11,14
191,31,40,23,36,15,10
192,31,22,9,32,2,24
193,2,9,25,1,29,21
194,19,32,19,12,2,14
195,36,27,13,45,11,4
196,33,14,4,19,42,21
197,12,40,25,2,17,33
198,35,10,39,34,23,12
199,35,7,7,22,19,18
200,43,2,14,29,44,26
201,22,19,19,26,3,23
202,40,45,32,6,19,7
203,44,29,40,6,11,8
204,38,27,39,7,37,28
205,16,28,37,27,17,17
206,30,3,23,40,21,37
207,10,40,43,11,36,16
208,22,26,5,17,28,30
209,37,27,18,9,6,5
210,44,34,30,13,38,20
211,1,9,18,38,37,42
212,2,38,42,12,34,25
213,25,33,36,19,13,35
214,26,18,5,36,35,35
215,38,13,10,16,2,19
216,42,4,17,23,33,11
217,30,1,6,7,6,27
218,14,12,7,6,19,17
219,15,7,11,18,26,21
220,13,37,32,27,14,28
221,23,6,43,31,25,2
222,4,27,11,23,13,11
223,23,43,6,38,15,14
224,39,15,16,19,40,30
225,24,15,20,43,13,11
226,37,23,8,31,18,1
227,34,9,30,14,26,29
228,17,1,9,41,9,2
229,5,16,25,25,43,40
230,18,45,36,39,14,19
231,25,7,38,45,21,6
232,21,13,25,35,32,17
233,34,26,15,28,11,25
234,12,2,19,44,2,14
235,43,7,37,17,3,3
236,41,16,2,40,44,25
237,36,14,4,31,16,9
238,24,29,6,42,11,27
239,36,15,40,45,38,30
240,13,18,1,7,9,40
241,7,11,4,41,39,29
242,7,10,32,40,1,44
243,35,35,30,19,15,33
244,41,11,29,18,10,25
245,17,34,26,43,2,37
246,17,29,25,33,14,17
247,40,42,45,35,4,9
248,3,4,18,34,16,42
249,9,13,44,34,37,24
250,14,28,7,35,31,7
251,1,5,7,8,28,26
252,6,1,16,39,27,28
253,1,40,37,13,14,22
254,9,9,10,5,31,1
255,12,30,13,26,13,6
256,30,32,35,25,16,26
257,19,40,1,27,37,2
258,1,32,28,21,38,3
259,21,42,34,25,17,37
260,41,18,21,11,22,17
261,39,1,1,1,7,8
262,36,24,8,2,24,20
263,37,6,39,28,20,16
264,42,42,22,17,16,30
265,6,7,34,6,32,21
266,11,31,23,21,5,19
267,7,27,10,7,33,34
268,27,24,10,3,39,25
269,6,36,17,3,28,44
270,3,13,30,1,18,41
271,37,30,37,4,25,1
272,1,32,19,21,27,35
273,21,22,15,20,35,12
274,30,10,13,44,35,6
275,39,30,24,1,24,24
276,39,28,20,40,30,19
277,20,12,7,14,12,11
278,18,32,22,18,35,28
279,16,20,22,31,25,16
280,23,34,13,18,3,30
281,20,37,9,32,3,36
282,11,37,33,4,43,2
283,34,29,17,17,24,19
284,34,26,28,23,39,33
285,27,27,20,34,35,3
286,28,9,3,24,42,6
287,19,11,22,35,27,8
288,40,19,18,2,5,4
289,41,14,32,40,13,2
290,42,31,23,25,21,39
291,3,26,32,28,7,33
292,18,35,24,2,21,16
293,30,22,35,16,35,35
294,20,40,7,32,31,10
295,17,37,20,21,26,1
296,24,18,10,31,6,26
297,43,30,6,41,25,31
298,17,2,42,3,38,2
299,24,18,7,11,26,27
300,5,26,14,18,37,13
301,26,33,12,4,19,9
302,29,44,25,39,20,22
303,17,33,2,12,2,14
304,22,33,21,13,41,14
305,31,3,10,12,8,7
306,17,37,9,20,18,25
307,4,19,22,15,17,5
308,5,23,11,43,9,17
309,35,13,23,2,43,6
310,44,14,16,31,15,29
311,43,18,7,36,27,26
312,4,44,39,17,7,8
313,30,24,13,5,23,38
314,13,7,22,40,13,13
315,24,26,38,14,35,5
316,25,27,14,40,11,43
317,11,8,14,1,13,42
318,27,13,45,1,27,18
319,22,4,5,18,18,21
320,30,20,17,14,40,19
321,22,2,19,42,37,30
322,34,35,2,8,33,2
323,36,28,34,35,33,1
324,31,32,18,20,33,43
325,3,37,25,25,23,33
326,7,25,13,10,39,7
327,12,44,21,2,5,32
328,5,42,1,1,26,29
329,35,2,24,37,41,11
330,24,24,28,30,5,18
331,13,18,20,33,11,31
332,22,17,24,26,30,8
333,41,45,4,7,38,32
334,45,4,27,19,32,24
335,31,42,8,14,3,10
336,41,28,30,15,42,43
337,24,35,26,26,11,41
338,41,13,41,44,10,43
339,6,7,33,18,1,1
340,30,8,19,43,22,1
341,23,17,17,27,41,8
342,37,14,24,34,45,1
343,41,6,43,40,45,16
344,27,4,10,32,30,44
345,25,25,30,3,13,16
346,5,7,8,28,1,6
347,14,41,29,40,21,30
348,26,10,6,19,33,8
349,32,17,37,3,14,19
350,37,19,33,38,12,7
351,11,18,17,41,11,16
352,11,18,32,1,1,4
353,30,34,18,16,18,10
354,44,7,37,23,33,1
355,12,17,5,28,19,45
356,20,20,21,28,7,6
357,31,16,17,15,24,43
358,43,4,37,18,18,34
359,13,14,12,23,14,32
360,2,13,33,20,34,35
361,44,16,38,6,24,5
362,14,25,38,12,21,5
363,37,36,17,4,37,9
364,2,15,3,37,27,19
365,36,27,17,34,7,4
366,39,40,14,45,41,18
367,33,4,31,27,13,35
368,4,12,26,10,41,40
369,33,14,34,34,28,27
370,45,35,32,11,18,25
371,37,16,9,26,38,23
372,23,40,3,44,23,4
373,24,17,13,40,25,7
374,6,21,8,22,18,14
375,3,11,2,6,15,45
376,44,26,18,23,31,33
377,10,25,26,18,13,13
378,30,32,12,33,9,23
379,17,13,38,33,11,20
380,19,28,21,37,36,18
381,45,8,21,7,43,27
382,19,19,44,4,39,29
383,25,37,7,10,6,33
384,6,25,2,37,27,23
385,34,38,26,21,39,23
386,42,14,31,22,29,12
387,10,18,39,44,37,42
388,6,24,16,20,19,8
389,25,13,13,44,38,18
390,5,7,19,4,38,35
391,33,3,15,2,6,7
392,5,24,7,8,18,36
393,15,37,38,36,1,38
394,26,6,29,38,11,40
395,29,31,3,10,22,45
396,16,1,16,20,45,25
397,7,21,22,28,13,22
398,44,17,39,42,24,21
399,9,14,31,36,14,6
400,15,19,5,22,9,2
401,36,28,24,1,8,26
402,33,45,33,29,33,24
403,23,2,26,21,33,31
404,26,39,30,13,26,19
405,41,40,6,37,19,44
406,18,25,38,27,44,32
407,16,10,32,42,14,41
408,25,31,29,29,23,18
409,23,41,43,25,39,27
410,15,25,10,26,22,15
411,24,9,7,24,10,26
412,4,34,13,4,29,19
413,30,27,27,33,34,30
414,34,15,2,25,37,14
415,6,43,24,4,37,6
416,45,10,23,31,13,23
417,3,13,30,21,7,9
418,35,37,27,45,38,18
419,30,5,22,4,12,6
420,4,4,41,41,17,18
421,32,25,38,1,26,27
422,36,24,32,3,26,2
423,32,32,26,23,28,42
424,23,3,25,44,34,42
425,37,32,44,44,10,12
426,44,30,21,30,43,33
427,19,15,37,14,39,38
428,1,11,1,33,39,34
429,10,29,21,7,7,12
430,22,6,39,34,26,11
431,38,28,26,22,43,29
432,4,28,39,30,26,36
433,40,29,35,29,39,16
434,22,2,20,17,25,2
435,16,27,1,9,32,20
436,9,35,43,5,1,21
437,19,10,29,14,3,22
438,38,18,20,22,24,23
439,12,18,8,20,4,7
440,6,42,27,3,43,16
441,23,5,2,36,26,17
442,27,16,25,15,30,30
443,34,25,17,29,2,2
444,16,22,4,28,16,8
445,40,32,37,38,12,34
446,23,34,37,3,23,9
447,41,17,35,37,28,40
448,30,40,20,10,10,14
449,22,11,44,26,11,10
450,3,9,21,7,18,36
451,5,31,43,31,2,9
452,44,34,29,8,11,12
453,6,12,35,18,13,25
454,18,23,10,7,39,7
455,32,6,17,37,35,7
456,37,28,11,4,26,20
457,18,4,21,16,44,16
458,42,26,25,4,20,18
459,33,34,7,34,21,5
460,36,14,32,36,30,31
461,41,30,30,37,1,28
462,34,43,37,31,41,17
463,24,20,15,22,10,36
464,18,37,45,27,10,17
465,10,3,15,37,32,5
466,40,36,4,5,7,12
467,27,31,29,5,22,12
468,11,24,6,41,6,27
469,20,23,44,9,2,34
470,21,27,7,24,33,14
471,40,9,5,23,21,43
472,20,30,5,34,26,37
473,21,21,27,21,44,41
474,23,37,19,33,18,28
475,41,4,35,26,42,37
476,5,17,15,22,45,35
477,14,8,41,32,29,29
478,40,23,31,31,28,44
479,6,42,31,17,44,1
480,29,16,12,22,6,44
481,14,22,35,35,36,22
482,32,12,16,27,21,1
483,28,11,20,25,21,30
484,22,4,16,22,42,16
485,4,4,6,22,41,21
486,10,40,36,16,38,44
487,27,42,39,30,34,14
488,30,44,37,6,17,42
489,40,38,4,31,45,13
490,11,36,13,43,14,19
491,16,22,35,18,11,38
492,4,44,17,15,23,29
493,11,31,14,19,22,23
494,32,16,31,12,31,44
495,17,14,21,38,42,10
496,43,24,45,2,13,5
497,44,42,38,3,36,33
498,35,37,39,9,24,11
499,5,19,11,42,43,30
500,35,26,1,9,5,39
501,11,22,14,5,34,22
502,12,9,6,10,33,26
503,12,3,38,7,44,15
504,23,21,38,36,16,45
505,36,25,9,11,34,45
506,16,15,31,13,21,16
507,10,26,25,25,1,45
508,44,4,22,19,8,37
509,43,32,40,44,18,44
510,20,24,25,24,13,2
511,1,41,17,21,41,2
512,13,3,32,35,26,32
513,34,21,13,42,41,30
514,22,19,18,45,22,17
515,10,30,40,26,5,29
516,21,5,30,4,33,20
517,45,1,27,25,31,8
518,31,18,7,44,6,5
519,35,8,25,37,6,42
520,6,12,18,30,21,27
521,11,19,21,1,37,1
522,39,22,16,21,9,13
523,9,33,3,16,29,26
524,12,42,1,22,28,6
525,28,6,40,16,37,36
526,38,19,23,14,8,14
527,29,19,25,12,42,44
528,22,11,30,44,24,19
529,15,33,43,28,27,25
530,44,4,25,9,18,35
531,19,22,6,29,17,37
532,18,43,11,3,3,42
533,36,43,34,37,31,37
534,8,13,11,10,17,22
535,22,7,22,22,13,19
536,13,23,40,28,21,40
537,39,4,18,19,4,22
538,8,6,1,12,28,37
539,43,17,12,39,29,44
540,6,19,37,19,4,26
541,31,6,23,25,10,5
542,13,19,30,19,1,39
543,10,1,31,4,1,24
544,37,41,34,29,42,34
545,30,28,27,35,35,29
546,36,33,43,11,11,28
547,5,31,16,6,9,16
548,40,14,22,2,40,1
549,13,34,39,4,35,30
550,9,19,31,36,25,13
551,17,14,16,4,9,31
552,36,27,19,29,28,8
553,43,34,9,13,15,6
554,19,43,35,4,12,5
555,37,25,34,44,2,33
556,19,7,31,28,20,17
557,10,30,16,45,35,25
558,30,2,44,17,8,20
559,36,13,25,42,3,32
560,19,8,43,41,12,30
561,41,31,7,22,5,6
562,12,7,28,17,36,33
563,1,24,25,42,19,23
564,9,27,9,16,19,31
565,38,33,24,38,9,41
566,34,39,33,32,16,6
567,20,44,11,29,23,31
568,44,18,24,11,42,22
569,43,5,18,45,25,31
570,37,41,42,19,12,38
571,34,41,2,22,30,15
572,22,27,6,7,40,30
573,9,15,17,4,8,26
574,18,45,35,14,9,39
575,29,28,31,43,6,26
576,44,22,1,12,34,19
577,18,38,8,11,20,16
578,10,29,16,18,38,40
579,33,11,1,34,35,2
580,30,22,30,11,34,20
581,17,35,28,43,29,19
582,8,21,30,40,8,24
583,34,8,34,15,9,30
584,45,8,32,7,1,19
585,25,18,17,29,38,11
586,11,42,18,18,40,15
587,14,9,39,2,26,23
588,27,15,13,4,34,27
589,33,3,40,7,32,44
590,23,42,10,5,7,40
591,26,14,12,44,7,13
592,30,3,27,24,35,37
593,39,1,35,24,40,38
594,23,20,17,37,31,34
595,30,39,36,6,38,22
596,21,14,20,9,38,33
597,44,8,36,12,42,2
598,23,34,27,9,28,25
599,19,36,7,41,2,32
600,2,37,35,26,7,24
601,42,31,37,1,39,10
602,35,8,4,25,5,26
603,15,21,14,12,42,40
604,11,4,38,15,38,18
605,8,9,44,7,37,24
606,31,21,40,33,15,32
607,25,28,21,24,21,16
608,2,36,25,21,31,38
609,44,23,11,29,12,39
610,11,43,20,5,31,25
611,16,38,8,23,33,24
612,41,17,34,16,19,2
613,25,19,7,30,22,17
614,20,4,14,6,1,39
615,11,28,28,28,34,21
616,2,20,33,3,16,30
617,43,21,43,24,30,19
618,17,4,21,17,43,37
619,10,19,43,6,23,45
620,1,22,13,27,8,13
621,36,1,13,44,14,11
622,9,1,27,23,42,31
623,6,9,45,44,19,15
624,2,20,29,15,1,44
625,24,18,20,7,30,13
626,39,34,29,14,34,33
627,23,45,10,25,19,13
628,3,24,7,22,24,40
629,34,13,34,16,41,11
630,23,11,12,17,40,25
631,18,45,19,5,17,37
632,35,17,31,34,2,15
633,9,13,36,23,12,13
634,22,23,27,43,25,9
635,10,41,44,1,12,11
636,43,14,42,34,25,24
637,11,44,30,25,24,38
638,27,10,41,4,25,4
639,35,5,19,43,27,22
640,21,30,24,20,25,18
641,25,23,30,12,1,35
642,24,9,15,33,37,30
643,34,36,33,5,16,30
644,29,41,3,26,21,9
645,27,6,39,26,13,26
646,16,15,2,38,5,36
647,25,33,16,23,34,26
648,2,22,23,33,35,35
649,7,40,35,37,26,31
650,4,40,44,15,32,7
651,39,24,2,23,24,18
652,30,23,9,28,26,29
653,6,44,42,6,14,18
654,39,42,13,29,19,4
655,2,16,8,45,41,7
656,12,3,34,23,17,20
657,19,42,29,19,44,27
658,42,30,2,17,29,44
659,43,35,18,38,22,28
660,27,19,38,44,17,13
661,2,24,31,11,20,3
662,37,5,41,35,13,9
663,36,36,6,34,12,34
664,40,1,5,16,45,13
665,31,27,34,2,6,20
666,17,15,21,4,10,9
667,2,6,20,3,24,35
668,12,18,34,43,19,34
669,26,12,20,7,27,16
670,25,14,40,35,32,13
671,32,45,16,41,2,6
672,30,42,28,12,42,32
673,38,33,15,27,16,19
674,19,12,22,5,24,25
675,30,29,35,30,32,7
676,7,28,33,28,25,15
677,27,14,3,20,24,33
678,29,37,37,25,22,32
679,33,12,10,7,12,10
680,21,39,38,4,10,11
681,9,27,20,9,25,16
682,15,24,11,22,30,6
683,19,3,39,32,45,7
684,22,11,11,39,39,9
685,25,10,40,23,2,5
686,17,1,9,10,1,28
687,2,30,28,39,25,15
688,20,41,34,21,26,21
689,15,32,32,36,8,34
690,31,42,12,44,25,7
691,24,28,33,10,32,5
692,20,29,25,45,13,18
693,37,20,13,2,25,42
694,15,16,10,27,38,24
695,31,44,6,30,32,43
696,12,12,15,1,8,8
697,22,5,29,4,11,5
698,44,1,23,1,32,31
699,5,42,40,15,2,23
700,16,24,12,33,15,30
701,18,34,41,44,44,29
702,7,39,35,4,13,39
703,37,19,43,11,40,44
704,14,31,26,15,31,28
705,43,22,32,3,41,19
706,32,44,37,2,38,25
707,45,28,36,29,39,41
708,33,41,39,37,4,3
709,21,9,34,22,25,39
710,30,32,39,18,37,27
711,41,15,23,1,13,28
712,27,16,13,28,44,5
713,19,33,40,30,34,30
714,20,19,10,22,11,17
715,8,17,1,16,26,6
716,36,10,42,8,22,7
717,17,23,13,20,43,5
718,30,45,26,5,38,7
719,1,9,30,30,10,29
720,44,22,1,42,25,30
721,16,42,10,17,21,26
722,45,18,8,2,30,10
723,25,26,3,34,26,16
724,22,28,22,20,11,38
725,2,17,6,35,29,37
726,22,12,22,36,39,22
727,19,19,44,9,26,14
728,19,32,3,43,17,39
729,6,12,32,35,29,40
730,11,14,16,8,19,41
731,18,28,42,15,13,9
732,27,26,3,23,32,36
733,3,28,18,5,7,18
734,19,18,25,45,6,7
735,34,25,44,39,40,29
736,44,22,21,35,4,4
737,16,1,21,30,11,18
738,4,3,40,6,27,13
739,29,3,38,16,41,37
740,31,15,8,12,13,30
741,24,33,24,2,12,36
742,39,36,11,24,35,10
743,25,11,8,21,37,35
744,4,23,32,19,16,31
745,35,2,11,13,2,12
746,10,45,16,22,42,4
747,40,26,19,28,41,2
748,4,37,3,45,11,31
749,34,8,14,16,8,42
750,21,30,36,27,13,8
751,32,22,8,24,5,25
752,1,34,13,35,45,12
753,28,3,36,38,26,27
754,14,21,15,9,23,36
755,39,45,23,4,9,45
756,28,18,9,40,3,1
757,35,30,28,21,11,1
758,36,12,16,37,27,15
759,35,45,18,3,41,9
760,25,24,45,23,9,14
761,20,19,18,43,34,10
762,22,43,8,6,28,3
763,6,13,36,1,24,16
764,27,37,26,13,7,37
765,19,1,30,20,37,25
766,20,21,27,14,41,26
767,17,26,7,26,28,40
768,19,33,31,17,8,9
769,40,24,23,17,20,39
770,36,15,25,6,27,4
771,38,7,38,26,3,15
772,7,41,7,45,23,27
773,28,19,44,6,40,16
774,37,28,8,6,23,4
775,30,7,6,12,38,2
776,34,43,9,42,26,34
777,27,2,4,13,40,35
778,39,14,39,1,26,43
779,3,6,39,12,24,41
780,21,22,28,5,30,2
781,31,31,14,43,3,45
782,21,22,34,44,2,13
783,30,30,26,34,5,19
784,41,35,43,34,16,18
785,31,32,10,16,23,21
786,4,33,22,17,24,4
787,2,29,3,6,16,22
788,28,19,19,44,19,7
789,31,16,29,5,40,19
790,32,3,14,26,44,16
791,10,9,25,18,38,27
792,29,4,31,16,36,32
793,43,37,25,8,18,20
794,37,13,1,17,34,10
795,12,12,35,30,44,35
796,19,33,28,31,32,15
797,15,42,41,17,36,37
798,17,4,30,45,13,43
799,2,11,38,44,18,37
800,37,34,14,42,41,36
801,42,18,28,22,30,15
802,9,8,22,42,25,44
803,36,24,12,37,7,8
804,3,36,36,45,18,41
805,32,29,7,5,30,30
806,9,42,44,24,2,42
807,7,36,7,41,24,4
808,7,5,23,7,20,26
809,5,6,6,3,41,33
810,44,37,38,22,40,15
811,4,5,20,38,4,33
812,3,25,9,14,7,44
813,21,42,5,39,28,12
814,36,40,40,5,25,27
815,5,22,37,31,29,26
816,45,5,34,13,5,11
817,15,37,33,10,42,37
818,23,30,3,25,44,17
819,4,15,32,30,11,27
820,26,15,34,18,23,21
821,5,3,7,31,40,31
822,22,16,33,38,7,30
823,21,40,18,13,2,24
824,28,16,3,14,40,36
825,16,29,6,5,29,31
826,37,11,19,1,34,39
827,32,3,42,37,7,9
828,7,11,31,11,31,4
829,19,34,17,20,30,35
830,29,19,3,6,23,22
831,29,23,2,40,44,35
832,6,2,41,11,38,19
833,34,13,2,30,30,41
834,43,12,26,40,15,19
835,25,35,38,22,20,38
836,22,36,37,21,4,34
837,29,30,16,28,45,26
838,44,2,9,6,24,5
839,25,42,13,41,23,40
840,22,25,16,16,35,20
841,32,36,31,37,28,1
842,28,17,9,44,13,41
843,20,24,2,19,39,16
844,36,1,43,17,10,22
845,19,12,30,22,7,6
846,42,26,43,6,1,44
847,11,10,20,37,8,8
848,29,12,42,17,36,39
849,3,12,30,29,8,4
850,10,13,21,7,10,19
851,16,7,19,32,33,25
852,2,1,6,1,1,35
853,18,19,36,11,16,28
854,9,31,33,1,14,42
855,37,25,25,28,25,21
856,28,45,38,13,3,38
857,35,34,9,35,38,2
858,30,2,38,45,14,2
859,7,26,17,45,12,44
860,8,22,44,35,26,29
861,30,32,18,1,24,2
862,35,23,23,24,16,22
863,15,3,27,1,13,35
864,37,28,18,12,44,8
865,42,44,24,43,45,26
866,19,17,1,7,37,34
867,6,16,32,21,29,8
868,26,26,10,4,28,37
869,27,26,30,33,6,35
870,35,19,32,13,23,24
871,38,43,12,40,24,35
872,14,39,11,1,27,2
873,14,26,23,37,17,37
874,18,21,9,9,19,26
875,17,19,38,4,31,15
876,35,35,17,15,31,15
877,33,20,17,24,13,13
878,38,33,11,45,10,1
879,19,21,34,23,19,6
880,43,36,11,25,6,9
881,32,8,31,31,19,34
882,10,33,14,18,9,20
883,18,22,35,6,34,32
884,19,37,36,27,22,1
885,6,2,27,19,41,44
886,14,3,22,34,1,16
887,28,2,4,9,7,32
888,19,45,40,42,13,24
889,12,30,37,7,31,26
890,20,28,9,10,24,4
891,37,24,7,4,45,37
892,33,18,6,30,2,36
893,40,35,23,22,22,29
894,29,11,35,13,32,21
895,38,30,12,12,20,2
896,12,30,30,40,7,34
897,35,24,32,33,33,37
898,30,35,30,30,39,19
899,27,6,26,9,4,21
900,28,38,40,26,16,38
901,41,10,19,30,38,16
902,7,30,25,16,1,41
903,17,39,7,4,13,2
904,39,15,39,34,14,16
905,17,22,21,20,7,11
906,21,14,27,44,13,14
907,37,15,31,4,37,28
908,1,45,2,45,43,17
909,41,2,30,4,13,35
910,27,8,45,38,44,40
911,36,38,26,44,29,15
912,4,32,27,25,36,16
913,4,32,8,25,19,31
914,21,45,36,44,35,38
915,27,45,38,38,16,23
916,30,32,9,11,34,42
917,11,9,11,2,28,13
918,40,24,37,13,5,42
919,26,41,26,31,1,20
920,32,43,10,21,22,28
921,19,12,12,32,23,5
922,11,5,35,9,2,16
923,28,27,29,4,6,7
924,8,33,31,43,26,22
925,36,30,5,40,33,31
926,6,10,17,17,3,35
927,31,29,15,8,10,17
928,38,8,22,45,34,32
929,35,13,36,13,30,26
930,38,24,41,25,2,25
931,40,27,15,24,3,14
932,26,34,10,19,7,40
933,6,33,43,43,14,3
934,13,25,24,32,5,37
935,15,45,1,8,44,13
936,24,24,44,39,16,45
937,7,16,18,21,5,15
938,11,37,3,3,33,39
939,15,41,34,10,27,30
940,2,29,31,10,38,39
941,26,24,15,43,4,24
942,20,16,24,31,7,8
943,44,31,37,3,11,12
944,17,26,13,12,11,13
945,30,41,38,37,15,14
946,29,39,29,17,18,24
947,15,45,26,30,6,20
948,35,10,38,20,33,42
949,44,34,37,36,7,42
950,26,19,30,22,1,44
951,12,30,18,8,4,17
952,6,7,20,6,29,23
953,21,25,26,35,44,3
954,17,18,31,16,3,21
955,24,18,31,9,31,1
956,28,40,3,10,9,20
957,39,44,39,28,5,12
958,23,14,41,19,3,1
959,14,35,42,31,27,25
960,43,44,26,13,20,24
961,29,10,18,33,6,22
962,25,1,11,34,14,27
963,6,3,8,1,16,36
964,18,18,8,28,40,23
965,2,9,24,29,3,9
966,21,25,24,39,16,5
967,11,19,30,43,31,39
968,31,17,34,14,19,11
969,35,24,35,34,33,11
970,4,18,17,44,42,2
971,2,2,19,45,32,17
972,25,25,44,17,26,25
973,8,20,19,29,5,5
974,30,19,4,8,37,17
975,28,27,35,27,36,39
976,9,33,1,41,45,25
977,24,7,16,11,30,32
978,17,35,15,9,10,7
979,42,23,12,35,1,26
980,33,35,23,35,15,40
981,37,35,32,4,25,22
982,12,25,15,6,5,24
983,33,35,32,13,28,37
984,12,9,27,23,9,19
985,24,30,26,32,38,18
986,23,35,14,21,27,4
987,32,45,24,8,14,32
988,23,14,42,15,30,5
989,12,19,41,37,30,16
990,28,26,22,45,27,44
991,33,18,12,11,4,41
992,3,7,6,23,44,7
993,19,44,22,7,42,17
994,34,30,1,30,34,22
995,16,33,28,26,3,17
996,7,22,27,34,25,33
997,6,9,21,40,30,25
